strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/SOUTHAUSTRALIA/2/1995		A	H3N2	1995		virus_and_reference	7	8
A/SOUTHAUSTRALIA/3/2011		A	H3N2	2011		virus_and_reference	12	31
A/SOUTHAUSTRALIA/30/2012		A	H3N2	2012		virus_and_reference	46	68
A/SOUTHAUSTRALIA/34/1992		A	H3N2	1992		virus_and_reference	11	24
A/SOUTHAUSTRALIA/34/2019		A	H3N2	2019		virus_and_reference	157	407
A/SOUTHAUSTRALIA/36/1992		A	H3N2	1992		virus_and_reference	11	24
A/SOUTHAUSTRALIA/55/2014		A	H3N2	2014		virus_and_reference	38	15
A/STOCKHOLM/1/2010		A	H3N2	2010		virus_and_reference	25	20
A/STOCKHOLM/1/2013		A	H3N2	2013		virus_and_reference	298	857
A/STOCKHOLM/1/2013@X249		A	H3N2			virus_and_reference	8	6
A/STOCKHOLM/18/2011		A	H3N2	2011		virus_and_reference	1250	3493
A/STOCKHOLM/2/2010		A	H3N2	2010		virus_and_reference	25	20
A/STOCKHOLM/28/2014		A	H3N2	2014		virus_and_reference	23	19
A/STOCKHOLM/6/2014		A	H3N2	2014		virus_and_reference	2450	4735
A/STOCKHOLM/6/2014#CLONE123		A	H3N2			virus_and_reference	23	64
A/STOCKHOLM/6/2014#ISOLATE2		A	H3N2			virus_and_reference	890	1621
A/STOCKHOLM/6/2014@X251		A	H3N2			virus_and_reference	9	6
A/SWITZERLAND/8060/2017		A	H3N2	2017		virus_and_reference	359	823
A/SWITZERLAND/9715293/2013		A	H3N2	2013		virus_and_reference	1978	3624
A/SWITZERLAND/9715293/2013#CLONE123		A	H3N2			virus_and_reference	919	1041
A/SWITZERLAND/9715293/2013@NIB88		A	H3N2			virus_and_reference	18	7
A/SWITZERLAND/9715293/2013@X247		A	H3N2			virus_and_reference	30	7
A/SYDNEY/174/1997		A	H3N2	1997		virus_and_reference	18	46
A/SYDNEY/2/1993		A	H3N2	1993		virus_and_reference	10	24
A/SYDNEY/203/2000		A	H3N2	2000		virus_and_reference	26	18
A/SYDNEY/5/1997		A	H3N2	1997		virus_and_reference	1573	5386
A/SYDNEY/71/2014		A	H3N2	2014		virus_and_reference	22	31
A/TASMANIA/1/1997		A	H3N2	1997		virus_and_reference	40	69
A/TASMANIA/11/2014		A	H3N2	2014		virus_and_reference	33	38
A/TASMANIA/11/2014@IVR174		A	H3N2			virus_and_reference	11	19
A/TASMANIA/503/2020		A	H3N2	2020		virus_and_reference	29	54
A/TEHRAN/14/1999		A	H3N2	1999		virus_and_reference	18	42
A/TEXAS/1/1977		A	H3N2	1977		virus_and_reference	44	47
A/TEXAS/50/2012		A	H3N2	2012		virus_and_reference	2526	5261
A/TEXAS/50/2012@8		A	H3N2			virus_and_reference	10	15
A/THESSALONIKI/1/1995		A	H3N2	1995		virus_and_reference	101	1021
A/TOULOUSE/878/2001		A	H3N2	2001		virus_and_reference	204	690
A/TOWNSVILLE/87/2010@NIB76		A	H3N2			virus_and_reference	30	44
A/TRIESTE/1/2013		A	H3N2	2013		virus_and_reference	13	27
A/TRIESTE/2/2003		A	H3N2	2003		virus_and_reference	13	91
A/TRIESTE/25C/2007		A	H3N2	2007		virus_and_reference	757	1941
A/TRIESTE/25E/2007		A	H3N2	2007		virus_and_reference	329	588
A/TULKAREM/83/2013		A	H3N2	2013		virus_and_reference	44	39
A/ULANUDE/1/2000		A	H3N2	2000		virus_and_reference	31	39
A/UNITEDKINGDOM/1861/2003		A	H3N2	2003		virus_and_reference	251	1176
A/URUGUAY/716/2007		A	H3N2	2007		virus_and_reference	709	1873
A/VICTORIA/1/1990		A	H3N2	1990		virus_and_reference	13	21
A/VICTORIA/1/1993		A	H3N2	1993		virus_and_reference	10	24
A/VICTORIA/110/2004		A	H3N2	2004		virus_and_reference	11	37
A/VICTORIA/151/1997		A	H3N2	1997		virus_and_reference	7	17
A/VICTORIA/208/2009		A	H3N2	2009		virus_and_reference	997	2828
A/VICTORIA/210/2009		A	H3N2	2009		virus_and_reference	390	834
A/VICTORIA/29/1992		A	H3N2	1992		virus_and_reference	11	24
A/VICTORIA/3/1975		A	H3N2	1975		virus_and_reference	62	85
A/VICTORIA/318/1998		A	H3N2	1998		virus_and_reference	293	1212
A/VICTORIA/361/2011		A	H3N2	2011		virus_and_reference	2734	6449
A/VICTORIA/361/2011@IVR165		A	H3N2			virus_and_reference	45	37
A/VICTORIA/361/2011@NIB79		A	H3N2			virus_and_reference	27	37
A/VICTORIA/500/2004		A	H3N2	2004		virus_and_reference	18	37
A/VICTORIA/507/1998		A	H3N2	1998		virus_and_reference	24	14
A/VICTORIA/512/1998		A	H3N2	1998		virus_and_reference	12	14
A/VICTORIA/513/2004		A	H3N2	2004		virus_and_reference	18	37
A/VICTORIA/522/1999@FS		A	H3N2			virus_and_reference	40	33
A/VICTORIA/536/1999@FS		A	H3N2			virus_and_reference	7	33
A/VICTORIA/673/2014		A	H3N2	2014		virus_and_reference	44	61
A/VICTORIA/69/1997		A	H3N2	1997		virus_and_reference	15	22
A/WAIKATO/14/1990		A	H3N2	1990		virus_and_reference	13	19
A/WAIKATO/7/1990		A	H3N2	1990		virus_and_reference	29	21
A/WASHINGTON/15/1990		A	H3N2	1990		virus_and_reference	4	4
A/WASHINGTON/15/1991		A	H3N2	1991		virus_and_reference	277	2377
